id,word,difficulty,category,synonyms,disabled
1,太阳,1,自然,日头,
2,月亮,1,自然,月牙,
3,星星,1,自然,,
4,云,1,自然,云朵,
5,彩虹,1,自然,,
6,雪人,1,自然,,
7,树,1,自然,大树,
8,花,1,自然,花朵,
9,苹果,1,食物,,
10,香蕉,1,食物,,
11,西瓜,1,食物,,
12,冰淇淋,1,食物,冰激凌|雪糕,
13,蛋糕,1,食物,,
14,汉堡,1,食物,,
15,杯子,1,物品,水杯,
16,鱼,1,动物,,
17,猫,1,动物,小猫,
18,狗,1,动物,小狗,
19,兔子,1,动物,兔,
20,猪,1,动物,,
21,牛,1,动物,,
22,马,1,动物,,
23,鸡,1,动物,,
24,鸭,1,动物,鸭子,
25,蛇,1,动物,,
26,青蛙,1,动物,,
27,老鼠,1,动物,,
28,蜜蜂,1,动物,,
29,蜘蛛,1,动物,,
30,乌龟,1,动物,,
31,蝴蝶,1,动物,,
32,小鸟,1,动物,鸟,
33,大象,1,动物,,
34,房子,1,建筑,屋子,
35,门,1,建筑,,
36,窗户,1,建筑,窗,
37,桥,1,建筑,,
38,山,1,自然,,
39,汽车,1,交通,车,
40,自行车,1,交通,单车|脚踏车,
41,船,1,交通,小船,
42,飞机,1,交通,,
43,钟表,1,物品,闹钟|时钟,
44,眼镜,1,物品,,
45,帽子,1,物品,,
46,鞋,1,物品,鞋子,
47,钥匙,1,物品,,
48,书,1,物品,书本,
49,铅笔,1,物品,笔,
50,剪刀,1,物品,,
51,气球,1,物品,,
52,雨伞,1,物品,伞,
53,雨衣,1,物品,,
54,蜡烛,1,物品,,
55,蘑菇,1,自然,,
56,火,1,自然,火焰,
57,心形,1,符号,爱心,
58,笑脸,1,符号,笑,
59,刀,1,物品,,
60,床,1,物品,,
61,椅子,1,物品,凳子,
62,台灯,1,物品,灯,
63,电视,1,物品,电视机,
64,手机,1,物品,电话,
65,电脑,1,物品,计算机,
66,手套,1,物品,,
67,领带,1,物品,,
68,足球,1,物品,,
69,篮球,1,物品,,
70,风筝,1,物品,,
71,长颈鹿,2,动物,,
72,章鱼,2,动物,,
73,海豚,2,动物,,
74,鲸鱼,2,动物,,
75,螃蟹,2,动物,,
76,水母,2,动物,,
77,河马,2,动物,,
78,犀牛,2,动物,,
79,骆驼,2,动物,,
80,袋鼠,2,动物,,
81,熊猫,2,动物,,
82,孔雀,2,动物,,
83,猫头鹰,2,动物,,
84,蝙蝠,2,动物,,
85,变色龙,2,动物,,
86,考拉,2,动物,,
